halfYear,isHoliday,partOfDay,weatherA,weatherB,SA2_Name,SA3_Name,trafficCount,population,crashesCount
2018H1,0,Day,Fine,Null,Massey Red Hills,Massey,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Massey Road North,Mangere East,4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Massey Road South,Mangere East,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Massey Road West,Mangere East,4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Massey Royal Road West,Massey,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Massey South,Massey,4994206.6408839775,1533750.0,9
2018H1,0,Day,Fine,Null,Massey West,Massey,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Maungawhau,Mount Eden  ,4994206.6408839775,1533750.0,10
2018H1,0,Day,Fine,Null,McLaren Memorial Park,Henderson,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Meadowbank East,Meadowbank,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Mellons Bay,Mellons Bay,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Middlefield,East Tamaki Heights,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Middlemore,Mangere East,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Milford Central,Milford,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Milford West,Milford,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Mission Bay,Mission Bay,4994206.6408839775,1533750.0,6
2018H1,0,Day,Fine,Null,Mission Bay Eastridge,Mission Bay,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Mission Heights North,Flat Bush,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Morningside (Auckland),Morningside (Auckland),4994206.6408839775,1533750.0,9
2018H1,0,Day,Fine,Null,Mount Albert Central,Mount Albert,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Mount Albert North,Mount Albert,4994206.6408839775,1533750.0,15
2018H1,0,Day,Fine,Null,Mount Albert South,Mount Albert,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Mount Albert West,Mount Albert,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Mount Eden East,Mount Eden  ,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Mount Eden North,Mount Eden  ,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Mount Eden North East,Mount Eden  ,4994206.6408839775,1533750.0,8
2018H1,0,Day,Fine,Null,Mount Eden South,Mount Eden  ,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Mount Eden West,Mount Eden  ,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Mount Roskill Central East,Mount Roskill,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Mount Roskill Central North,Mount Roskill,4994206.6408839775,1533750.0,23
2018H1,0,Day,Fine,Null,Mount Roskill Central South,Mount Roskill,4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Mount Roskill Nirvana,Mount Roskill,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Mount Roskill North,Mount Roskill,4994206.6408839775,1533750.0,8
