date,SA22023_V1_00,SA32023_V1_00,weatherA,weatherB,light
2024-05-28,151000,51960,Heavy rain,Strong wind,day
2024-05-28,151600,51960,Heavy rain,Strong wind,day
2024-05-28,119100,50650,Heavy rain,Strong wind,day
2024-05-28,151600,51960,Heavy rain,Strong wind,night
2024-05-28,133000,51120,Heavy rain,Strong wind,night
2024-05-28,163400,52180,Heavy rain,Strong wind,day
2024-05-28,134000,51120,Heavy rain,Strong wind,day
2024-05-28,150700,51760,Heavy rain,Strong wind,night
2024-05-28,151000,51960,Heavy rain,Strong wind,night
2024-05-28,128200,51110,Heavy rain,Strong wind,day
2024-05-28,122400,50900,Heavy rain,Strong wind,night
2024-05-28,112701,50480,Heavy rain,Strong wind,day
2024-05-28,164001,52230,Heavy rain,Strong wind,night
2024-05-28,133900,51350,Heavy rain,Strong wind,night
2024-05-28,145400,51660,Heavy rain,Strong wind,night
2024-05-28,133400,51150,Heavy rain,Strong wind,day
2024-05-28,134000,51120,Heavy rain,Strong wind,night
2024-05-28,164201,52220,Heavy rain,Strong wind,night
2024-05-28,119600,50930,Heavy rain,Strong wind,night
2024-05-28,151400,51830,Heavy rain,Strong wind,day
2024-05-28,145300,51710,Heavy rain,Strong wind,day
2024-05-28,144900,51690,Heavy rain,Strong wind,night
2024-05-28,150700,51760,Heavy rain,Strong wind,day
2024-05-28,133700,51150,Heavy rain,Strong wind,day
2024-05-28,112702,50480,Heavy rain,Strong wind,day
2024-05-28,145500,51570,Heavy rain,Strong wind,night
2024-05-28,145500,51570,Heavy rain,Strong wind,day
2024-05-28,133301,51150,Heavy rain,Strong wind,night
2024-05-28,133400,51150,Heavy rain,Strong wind,night
2024-05-28,133700,51150,Heavy rain,Strong wind,night
2024-05-28,163803,52260,Heavy rain,Strong wind,day
2024-05-28,119201,50910,Heavy rain,Strong wind,night
2024-05-28,145400,51660,Heavy rain,Strong wind,day
2024-05-28,150500,51760,Heavy rain,Strong wind,day
2024-05-28,151900,51830,Heavy rain,Strong wind,night
2024-05-28,151900,51830,Heavy rain,Strong wind,day
2024-05-28,122101,50990,Heavy rain,Strong wind,day
2024-05-28,122300,50940,Heavy rain,Strong wind,night
2024-05-28,145102,51260,Heavy rain,Strong wind,night
2024-05-28,163200,52200,Heavy rain,Strong wind,night
2024-05-28,113201,50460,Heavy rain,Strong wind,day
2024-05-28,163801,52260,Heavy rain,Strong wind,day
2024-05-28,133600,51450,Heavy rain,Strong wind,night
2024-05-28,144700,51640,Heavy rain,Strong wind,day
2024-05-28,163801,52260,Heavy rain,Strong wind,night
2024-05-28,145101,51260,Heavy rain,Strong wind,night
2024-05-28,163600,52200,Heavy rain,Strong wind,night
2024-05-28,145101,51260,Heavy rain,Strong wind,day
2024-05-28,163301,52200,Heavy rain,Strong wind,night
2024-05-28,163301,52200,Heavy rain,Strong wind,day
2024-05-28,122001,50880,Heavy rain,Strong wind,night
2024-05-28,164302,52250,Heavy rain,Strong wind,day
2024-05-28,132900,51350,Heavy rain,Strong wind,night
2024-05-28,113201,50460,Heavy rain,Strong wind,night
