date,isHoliday,SA22023_V1_00_Filled,SA22023_V1_00_NAME,SA22023_V1_00_NAME_ASCII,SA32023_V1_00,SA32023_V1_00_NAME,SA32023_V1_00_NAME_ASCII,weatherA,weatherB,partOfDay,Traffic Count,Population
2024-05-28,0,133800,Hobson Ridge South,Hobson Ridge South,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,133800,Hobson Ridge South,Hobson Ridge South,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,120800,Mairangi Bay South,Mairangi Bay South,50770,Mairangi Bay ,Mairangi Bay ,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,120800,Mairangi Bay South,Mairangi Bay South,50770,Mairangi Bay ,Mairangi Bay ,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,136100,Grafton,Grafton,51230,Grafton,Grafton,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,136100,Grafton,Grafton,51230,Grafton,Grafton,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,157701,Clover Park North,Clover Park North,52020,Clover Park ,Clover Park ,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,157701,Clover Park North,Clover Park North,52020,Clover Park ,Clover Park ,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,144900,Stonefields West,Stonefields West,51690,Stonefields,Stonefields,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,144900,Stonefields West,Stonefields West,51690,Stonefields,Stonefields,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,147001,Tamaki West,Tamaki West,51720,Panmure,Panmure,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,147001,Tamaki West,Tamaki West,51720,Panmure,Panmure,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,164302,Drury East,Drury East,52250,Drury,Drury,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
